feature,mean_abs_shap,rank
value_rolling_mean_4,0.28598616,1
value_rolling_min_4,0.27115887,2
value_lag_1,0.23971163,3
value_rolling_max_4,0.1577838,4
week_cos,0.11876306,5
momentum_4w,0.09934348,6
value_rolling_std_4,0.09840444,7
value_trend_4w,0.09353203,8
weekly_rate,0.07427858,9
value_rolling_min_8,0.06745763,10
us_total_rolling_mean_4,0.061986327,11
rate_trend_4w,0.055669885,12
month_cos,0.052757617,13
week_of_year,0.051573534,14
wow_pct_change,0.047724314,15
momentum_4w_pct,0.04597387,16
recent_vs_historical,0.039883442,17
day_of_year,0.03646608,18
value_lag_52,0.035991475,19
value_rolling_mean_8,0.034597516,20
rate_lag_4,0.033094455,21
wow_change,0.032143902,22
season_severity_ratio,0.03206001,23
year,0.025530133,24
rate_rolling_mean_4,0.025292078,25
us_total_rolling_mean_8,0.024545377,26
us_total_lag_1,0.022186877,27
month,0.02088115,28
day_cos,0.019899601,29
value_lag_2,0.018491821,30
us_total_lag_4,0.01848705,31
week_sin,0.017482959,32
us_total_rolling_std_8,0.01583815,33
value_rolling_max_8,0.014118269,34
recent_severity_ratio,0.010248638,35
value_rolling_std_8,0.009671749,36
day_sin,0.008836822,37
us_total_rolling_std_4,0.008002039,38
location_name,0.007879183,39
value_lag_3,0.0060840533,40
us_total_lag_2,0.00589863,41
yoy_diff,0.005897148,42
us_total_lag_3,0.0058756513,43
value_lag_4,0.0056907353,44
acceleration,0.0056285844,45
rate_lag_1,0.004242594,46
value_lag_12,0.0019841802,47
value_lag_8,0.0016994844,48
season_phase_sin,0.0005440135,49
