date,location,location_name,value,weekly_rate,year,month,week_of_year,day_of_year,week_sin,week_cos,month_sin,month_cos,day_sin,day_cos,value_lag_1,value_lag_2,value_lag_3,value_lag_4,value_lag_8,value_lag_12,value_lag_52,value_rolling_mean_4,value_rolling_std_4,value_rolling_min_4,value_rolling_max_4,value_rolling_mean_8,value_rolling_std_8,value_rolling_min_8,value_rolling_max_8,value_trend_4w,yoy_ratio,yoy_pct_change,yoy_diff,season_severity_ratio,recent_severity_ratio,wow_change,wow_pct_change,acceleration,momentum_4w,momentum_4w_pct,is_flu_season,season_phase,season_phase_sin,season_phase_cos,rate_lag_1,rate_lag_4,rate_rolling_mean_4,rate_trend_4w,us_total_lag_1,us_total_lag_2,us_total_lag_3,us_total_lag_4,us_total_rolling_mean_4,us_total_rolling_std_4,us_total_rolling_mean_8,us_total_rolling_std_8,recent_vs_historical,seasonal_deviation
2022-02-05,13,Georgia,53.0,0.474023596357996,2022,2,5,36,0.5680647467311558,0.8229838658936564,0.8660254037844386,0.5000000000000001,0.5808002734538009,0.8140460935082178,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53.0,0.0,53.0,53.0,53.0,0.0,53.0,53.0,0.0,0.0,0.0,0.0,0.0,0.0505725190839694,0.0,0.0,0.0,0.0,0.0,1,3,-1.0,-1.8369701987210294e-16,0.0,0.0,0.474023596357996,0.0,0.0,0.0,0.0,0.0,1090.0,0.0,1090.0,0.0,0.9999999998113208,0.0
2022-02-05,15,Hawaii,0.0,0.0,2022,2,5,36,0.5680647467311558,0.8229838658936564,0.8660254037844386,0.5000000000000001,0.5808002734538009,0.8140460935082178,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,3,-1.0,-1.8369701987210294e-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1090.0,0.0,1090.0,0.0,0.0,0.0
2022-02-05,16,Idaho,1.0,0.0499595577380111,2022,2,5,36,0.5680647467311558,0.8229838658936564,0.8660254037844386,0.5000000000000001,0.5808002734538009,0.8140460935082178,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.024390243902439,0.0,0.0,0.0,0.0,0.0,1,3,-1.0,-1.8369701987210294e-16,0.0,0.0,0.0499595577380111,0.0,0.0,0.0,0.0,0.0,1090.0,0.0,1090.0,0.0,0.9999999900000002,0.0
2022-02-05,17,Illinois,10.0,0.0786772280879593,2022,2,5,36,0.5680647467311558,0.8229838658936564,0.8660254037844386,0.5000000000000001,0.5808002734538009,0.8140460935082178,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,10.0,10.0,10.0,0.0,10.0,10.0,0.0,0.0,0.0,0.0,0.0,0.8333333333333334,0.0,0.0,0.0,0.0,0.0,1,3,-1.0,-1.8369701987210294e-16,0.0,0.0,0.0786772280879593,0.0,0.0,0.0,0.0,0.0,1090.0,0.0,1090.0,0.0,0.999999999,0.0
2022-02-05,18,Indiana,33.0,0.476584191124703,2022,2,5,36,0.5680647467311558,0.8229838658936564,0.8660254037844386,0.5000000000000001,0.5808002734538009,0.8140460935082178,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.0,0.0,33.0,33.0,33.0,0.0,33.0,33.0,0.0,0.0,0.0,0.0,0.0,0.3975903614457831,0.0,0.0,0.0,0.0,0.0,1,3,-1.0,-1.8369701987210294e-16,0.0,0.0,0.476584191124703,0.0,0.0,0.0,0.0,0.0,1090.0,0.0,1090.0,0.0,0.9999999996969696,0.0
2022-02-05,19,Iowa,16.0,0.493600469907647,2022,2,5,36,0.5680647467311558,0.8229838658936564,0.8660254037844386,0.5000000000000001,0.5808002734538009,0.8140460935082178,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,16.0,16.0,16.0,0.0,16.0,16.0,0.0,0.0,0.0,0.0,0.0,0.1568627450980392,0.0,0.0,0.0,0.0,0.0,1,3,-1.0,-1.8369701987210294e-16,0.0,0.0,0.493600469907647,0.0,0.0,0.0,0.0,0.0,1090.0,0.0,1090.0,0.0,0.999999999375,0.0
2022-02-05,20,Kansas,9.0,0.302968485218168,2022,2,5,36,0.5680647467311558,0.8229838658936564,0.8660254037844386,0.5000000000000001,0.5808002734538009,0.8140460935082178,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,9.0,9.0,9.0,0.0,9.0,9.0,0.0,0.0,0.0,0.0,0.0,0.4736842105263157,0.0,0.0,0.0,0.0,0.0,1,3,-1.0,-1.8369701987210294e-16,0.0,0.0,0.302968485218168,0.0,0.0,0.0,0.0,0.0,1090.0,0.0,1090.0,0.0,0.9999999988888888,0.0
2022-02-05,21,Kentucky,13.0,0.283324891704509,2022,2,5,36,0.5680647467311558,0.8229838658936564,0.8660254037844386,0.5000000000000001,0.5808002734538009,0.8140460935082178,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,13.0,13.0,13.0,0.0,13.0,13.0,0.0,0.0,0.0,0.0,0.0,0.7222222222222222,0.0,0.0,0.0,0.0,0.0,1,3,-1.0,-1.8369701987210294e-16,0.0,0.0,0.283324891704509,0.0,0.0,0.0,0.0,0.0,1090.0,0.0,1090.0,0.0,0.9999999992307692,0.0
2022-02-05,22,Louisiana,74.0,1.60948639983992,2022,2,5,36,0.5680647467311558,0.8229838658936564,0.8660254037844386,0.5000000000000001,0.5808002734538009,0.8140460935082178,0.0,0.0,0.0,0.0,0.0,0.0,0.0,74.0,0.0,74.0,74.0,74.0,0.0,74.0,74.0,0.0,0.0,0.0,0.0,0.0,1.1384615384615384,0.0,0.0,0.0,0.0,0.0,1,3,-1.0,-1.8369701987210294e-16,0.0,0.0,1.60948639983992,0.0,0.0,0.0,0.0,0.0,1090.0,0.0,1090.0,0.0,0.999999999864865,0.0
2022-02-05,23,Maine,3.0,0.213521308003063,2022,2,5,36,0.5680647467311558,0.8229838658936564,0.8660254037844386,0.5000000000000001,0.5808002734538009,0.8140460935082178,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,3.0,3.0,3.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0254237288135593,0.0,0.0,0.0,0.0,0.0,1,3,-1.0,-1.8369701987210294e-16,0.0,0.0,0.213521308003063,0.0,0.0,0.0,0.0,0.0,1090.0,0.0,1090.0,0.0,0.9999999966666668,0.0
