location,cutoff_date,forecast_date,forecast_week,predicted,predicted_q05,predicted_q25,predicted_q50,predicted_q75,predicted_q95,target_mode,reference_date,target_end_date,horizon
01,2024-11-02,2024-11-09,1,20.592226028442383,4.111914157867432,14.743033409118652,20.592226028442383,32.827491760253906,33.9338493347168,log,2024-11-02,2024-11-09,1
01,2024-11-02,2024-11-16,2,33.31986618041992,5.706791877746582,20.550397872924805,33.31986618041992,45.93645477294922,46.767574310302734,log,2024-11-02,2024-11-16,2
01,2024-11-02,2024-11-23,3,48.34190368652344,6.303136348724365,31.45643424987793,48.34190368652344,68.84225463867188,81.97917175292969,log,2024-11-02,2024-11-23,3
01,2024-11-02,2024-11-30,4,51.94452667236328,5.308679103851318,34.610836029052734,51.94452667236328,77.41455078125,104.79793548583984,log,2024-11-02,2024-11-30,4
02,2024-11-02,2024-11-09,1,10.759729385375977,2.4,6.932728290557861,10.759729385375977,14.69970417022705,18.72629737854004,log,2024-11-02,2024-11-09,1
02,2024-11-02,2024-11-16,2,20.8529109954834,1.7579600811004639,11.544888496398926,20.8529109954834,26.009845733642578,27.66206932067871,log,2024-11-02,2024-11-16,2
02,2024-11-02,2024-11-23,3,27.17034149169922,2.1135761737823486,13.437350273132324,27.17034149169922,33.475826263427734,45.20464324951172,log,2024-11-02,2024-11-23,3
02,2024-11-02,2024-11-30,4,38.02045822143555,1.8579412698745728,17.059566497802734,38.02045822143555,40.94891357421875,72.5447769165039,log,2024-11-02,2024-11-30,4
04,2024-11-02,2024-11-09,1,116.50259399414062,42.3,68.70062255859375,116.50259399414062,190.4340362548828,369.1486511230469,log,2024-11-02,2024-11-09,1
04,2024-11-02,2024-11-16,2,144.77464294433594,53.70595932006836,98.36990356445312,144.77464294433594,216.39588928222656,468.9942321777344,log,2024-11-02,2024-11-16,2
04,2024-11-02,2024-11-23,3,140.34771728515625,33.15694808959961,83.51582336425781,140.34771728515625,360.538818359375,678.0648803710938,log,2024-11-02,2024-11-23,3
04,2024-11-02,2024-11-30,4,156.2273712158203,30.457929611206055,134.33871459960938,156.2273712158203,276.2215270996094,810.7794799804688,log,2024-11-02,2024-11-30,4
05,2024-11-02,2024-11-09,1,7.127041339874268,1.7999999999999998,4.417722225189209,7.127041339874268,10.53116226196289,11.468072891235352,log,2024-11-02,2024-11-09,1
05,2024-11-02,2024-11-16,2,12.553462028503418,0.804273247718811,6.375946044921875,12.553462028503418,16.066682815551758,23.407588958740234,log,2024-11-02,2024-11-16,2
05,2024-11-02,2024-11-23,3,23.985248565673828,1.2709476947784424,12.4537992477417,23.985248565673828,26.277070999145508,29.522459030151367,log,2024-11-02,2024-11-23,3
05,2024-11-02,2024-11-30,4,36.87255096435547,1.1656397581100464,16.30253791809082,36.87255096435547,38.63631057739258,38.79973602294922,log,2024-11-02,2024-11-30,4
06,2024-11-02,2024-11-09,1,155.48414611816406,78.95179748535156,116.79593658447266,155.48414611816406,190.82174682617188,285.8148498535156,log,2024-11-02,2024-11-09,1
06,2024-11-02,2024-11-16,2,216.97592163085938,96.79993438720703,193.24822998046875,216.97592163085938,224.7627410888672,333.6352844238281,log,2024-11-02,2024-11-16,2
06,2024-11-02,2024-11-23,3,310.1932678222656,64.58325958251953,240.8494873046875,310.1932678222656,449.4216613769531,619.4509887695312,log,2024-11-02,2024-11-23,3
06,2024-11-02,2024-11-30,4,426.5650329589844,62.88627243041992,369.6195068359375,426.5650329589844,500.6882629394531,746.0016479492188,log,2024-11-02,2024-11-30,4
08,2024-11-02,2024-11-09,1,28.56953239440918,7.5,19.380023956298828,28.56953239440918,51.713653564453125,59.59071731567383,log,2024-11-02,2024-11-09,1
08,2024-11-02,2024-11-16,2,40.22786331176758,5.662805557250977,25.468244552612305,40.22786331176758,58.88672637939453,82.74961853027344,log,2024-11-02,2024-11-16,2
08,2024-11-02,2024-11-23,3,75.21981811523438,7.091777801513672,44.12617874145508,75.21981811523438,109.11719512939453,139.6077880859375,log,2024-11-02,2024-11-23,3
08,2024-11-02,2024-11-30,4,73.03583526611328,6.683093070983887,53.569583892822266,73.03583526611328,143.2439727783203,254.41729736328125,log,2024-11-02,2024-11-30,4
09,2024-11-02,2024-11-09,1,13.463010787963867,3.0,9.216225624084473,13.463010787963867,17.272504806518555,23.511699676513672,log,2024-11-02,2024-11-09,1
09,2024-11-02,2024-11-16,2,18.963632583618164,2.3587987422943115,11.307256698608398,18.963632583618164,24.943784713745117,27.155832290649414,log,2024-11-02,2024-11-16,2
09,2024-11-02,2024-11-23,3,33.66334915161133,2.3838722705841064,15.136261940002441,33.66334915161133,38.63851547241211,41.49991989135742,log,2024-11-02,2024-11-23,3
09,2024-11-02,2024-11-30,4,38.886409759521484,2.0885567665100098,20.379520416259766,38.886409759521484,43.916255950927734,56.40327072143555,log,2024-11-02,2024-11-30,4
10,2024-11-02,2024-11-09,1,0.8351266980171204,0.1085679903626442,0.1169620156288147,0.8351266980171204,1.3191587924957275,5.482522964477539,log,2024-11-02,2024-11-09,1
10,2024-11-02,2024-11-16,2,1.4376506805419922,0.23827482759952545,0.32174402475357056,1.4376506805419922,2.6185402870178223,8.851271629333496,log,2024-11-02,2024-11-16,2
10,2024-11-02,2024-11-23,3,3.2078189849853516,0.0643342062830925,1.065462350845337,3.2078189849853516,4.284297943115234,17.291019439697266,log,2024-11-02,2024-11-23,3
10,2024-11-02,2024-11-30,4,6.024937629699707,0.17599371075630188,2.6568617820739746,6.024937629699707,9.203207969665527,23.116710662841797,log,2024-11-02,2024-11-30,4
11,2024-11-02,2024-11-09,1,1.4822158813476562,0.3,0.3,1.4822158813476562,3.4662744998931885,7.3653950691223145,log,2024-11-02,2024-11-09,1
11,2024-11-02,2024-11-16,2,2.0462207794189453,0.3686901032924652,0.8092924356460571,2.0462207794189453,4.788715839385986,10.579506874084473,log,2024-11-02,2024-11-16,2
11,2024-11-02,2024-11-23,3,3.3398921489715576,0.6200109720230103,2.461215019226074,3.3398921489715576,8.180257797241211,20.11294174194336,log,2024-11-02,2024-11-23,3
11,2024-11-02,2024-11-30,4,6.770025253295898,0.1761050969362259,5.133537292480469,6.770025253295898,13.9310302734375,31.654327392578125,log,2024-11-02,2024-11-30,4
12,2024-11-02,2024-11-09,1,168.37051391601562,70.02425384521484,114.83146667480469,168.37051391601562,181.41973876953125,231.61587524414062,log,2024-11-02,2024-11-09,1
12,2024-11-02,2024-11-16,2,238.2738494873047,85.76128387451172,165.26780700683594,238.2738494873047,238.552734375,346.7138366699219,log,2024-11-02,2024-11-16,2
12,2024-11-02,2024-11-23,3,356.8214111328125,53.204437255859375,267.8269958496094,356.8214111328125,452.4299621582031,711.5278930664062,log,2024-11-02,2024-11-23,3
12,2024-11-02,2024-11-30,4,491.6913757324219,55.54978561401367,452.012451171875,491.6913757324219,639.4710693359375,965.9335327148438,log,2024-11-02,2024-11-30,4
13,2024-11-02,2024-11-09,1,21.66729736328125,4.2,14.292665481567383,21.66729736328125,30.493011474609375,37.066890716552734,log,2024-11-02,2024-11-09,1
13,2024-11-02,2024-11-16,2,34.502647399902344,5.026471138000488,22.298458099365234,34.502647399902344,46.04564666748047,52.95218276977539,log,2024-11-02,2024-11-16,2
13,2024-11-02,2024-11-23,3,52.87678146362305,5.739249229431152,37.43995666503906,52.87678146362305,80.30722045898438,90.83450317382812,log,2024-11-02,2024-11-23,3
13,2024-11-02,2024-11-30,4,79.50152587890625,4.702029228210449,42.56522750854492,79.50152587890625,99.78825378417969,101.03794860839844,log,2024-11-02,2024-11-30,4
15,2024-11-02,2024-11-09,1,3.6211230754852295,0.8999999999999999,1.702534794807434,3.6211230754852295,7.3034281730651855,9.192079544067383,log,2024-11-02,2024-11-09,1
15,2024-11-02,2024-11-16,2,5.712491035461426,0.5617966055870056,2.7539970874786377,5.712491035461426,9.327962875366211,16.273571014404297,log,2024-11-02,2024-11-16,2
15,2024-11-02,2024-11-23,3,7.874184608459473,0.6327602863311768,5.975736141204834,7.874184608459473,16.342487335205078,25.835830688476562,log,2024-11-02,2024-11-23,3
15,2024-11-02,2024-11-30,4,12.464424133300781,0.7821187376976013,10.81883716583252,12.464424133300781,22.185216903686523,48.62116622924805,log,2024-11-02,2024-11-30,4
16,2024-11-02,2024-11-09,1,4.966557502746582,1.7999999999999998,3.494403123855591,4.966557502746582,10.193171501159668,13.619306564331055,log,2024-11-02,2024-11-09,1
16,2024-11-02,2024-11-16,2,7.62855863571167,1.0843489170074463,4.8668975830078125,7.62855863571167,14.624174118041992,18.883018493652344,log,2024-11-02,2024-11-16,2
16,2024-11-02,2024-11-23,3,10.42298698425293,0.9684669375419617,6.810692310333252,10.42298698425293,21.34842300415039,28.236074447631836,log,2024-11-02,2024-11-23,3
16,2024-11-02,2024-11-30,4,19.189525604248047,1.2750941514968872,12.264921188354492,19.189525604248047,23.89639663696289,41.52520751953125,log,2024-11-02,2024-11-30,4
