location,cutoff_date,forecast_date,forecast_week,forecast,raw_model_output,target_mode,reference_date,target_end_date,horizon
17,2024-11-02,2024-11-30,4,99.42610931396484,4.609422,log,2024-11-02,2024-11-30,4
18,2024-11-02,2024-11-09,1,20.989267349243164,3.0905545,log,2024-11-02,2024-11-09,1
18,2024-11-02,2024-11-16,2,29.348247528076172,3.4127388,log,2024-11-02,2024-11-16,2
18,2024-11-02,2024-11-23,3,56.8202018737793,4.057338,log,2024-11-02,2024-11-23,3
18,2024-11-02,2024-11-30,4,89.2153549194336,4.5021996,log,2024-11-02,2024-11-30,4
19,2024-11-02,2024-11-09,1,4.961359024047852,1.7852985,log,2024-11-02,2024-11-09,1
19,2024-11-02,2024-11-16,2,8.209515571594238,2.2202373,log,2024-11-02,2024-11-16,2
19,2024-11-02,2024-11-23,3,21.194705963134766,3.0998538,log,2024-11-02,2024-11-23,3
19,2024-11-02,2024-11-30,4,36.824424743652344,3.632955,log,2024-11-02,2024-11-30,4
20,2024-11-02,2024-11-09,1,8.352588653564453,2.2356532,log,2024-11-02,2024-11-09,1
20,2024-11-02,2024-11-16,2,12.638188362121582,2.6128738,log,2024-11-02,2024-11-16,2
20,2024-11-02,2024-11-23,3,33.906219482421875,3.552665,log,2024-11-02,2024-11-23,3
20,2024-11-02,2024-11-30,4,48.70407485961914,3.906087,log,2024-11-02,2024-11-30,4
21,2024-11-02,2024-11-09,1,12.385116577148438,2.5941434,log,2024-11-02,2024-11-09,1
21,2024-11-02,2024-11-16,2,16.15322494506836,2.8421862,log,2024-11-02,2024-11-16,2
21,2024-11-02,2024-11-23,3,29.263378143310547,3.4099383,log,2024-11-02,2024-11-23,3
21,2024-11-02,2024-11-30,4,56.602500915527344,4.053566,log,2024-11-02,2024-11-30,4
22,2024-11-02,2024-11-09,1,29.977434158325195,3.433259,log,2024-11-02,2024-11-09,1
22,2024-11-02,2024-11-16,2,48.60439682006836,3.9040794,log,2024-11-02,2024-11-16,2
22,2024-11-02,2024-11-23,3,67.15841674804688,4.2218347,log,2024-11-02,2024-11-23,3
22,2024-11-02,2024-11-30,4,104.57251739501953,4.659398,log,2024-11-02,2024-11-30,4
23,2024-11-02,2024-11-09,1,1.0938514471054077,0.73900515,log,2024-11-02,2024-11-09,1
23,2024-11-02,2024-11-16,2,2.3669309616088867,1.2140017,log,2024-11-02,2024-11-16,2
23,2024-11-02,2024-11-23,3,5.264823913574219,1.8349504,log,2024-11-02,2024-11-23,3
23,2024-11-02,2024-11-30,4,9.6244478225708,2.3631577,log,2024-11-02,2024-11-30,4
24,2024-11-02,2024-11-09,1,6.5703229904174805,2.0242357,log,2024-11-02,2024-11-09,1
24,2024-11-02,2024-11-16,2,7.877297401428223,2.1834972,log,2024-11-02,2024-11-16,2
24,2024-11-02,2024-11-23,3,12.392592430114746,2.5947018,log,2024-11-02,2024-11-23,3
24,2024-11-02,2024-11-30,4,23.15582275390625,3.1845255,log,2024-11-02,2024-11-30,4
25,2024-11-02,2024-11-09,1,3.322739601135254,1.4638894,log,2024-11-02,2024-11-09,1
25,2024-11-02,2024-11-16,2,4.921229839324951,1.7785442,log,2024-11-02,2024-11-16,2
25,2024-11-02,2024-11-23,3,7.802075386047363,2.1749876,log,2024-11-02,2024-11-23,3
25,2024-11-02,2024-11-30,4,14.404841423034668,2.7346818,log,2024-11-02,2024-11-30,4
26,2024-11-02,2024-11-09,1,20.541135787963867,3.0699644,log,2024-11-02,2024-11-09,1
26,2024-11-02,2024-11-16,2,31.7492618560791,3.4888804,log,2024-11-02,2024-11-16,2
26,2024-11-02,2024-11-23,3,60.80418014526367,4.123971,log,2024-11-02,2024-11-23,3
26,2024-11-02,2024-11-30,4,88.24321746826172,4.4913654,log,2024-11-02,2024-11-30,4
27,2024-11-02,2024-11-09,1,8.049816131591797,2.2027445,log,2024-11-02,2024-11-09,1
27,2024-11-02,2024-11-16,2,13.018932342529297,2.6404088,log,2024-11-02,2024-11-16,2
27,2024-11-02,2024-11-23,3,19.928955078125,3.0411336,log,2024-11-02,2024-11-23,3
27,2024-11-02,2024-11-30,4,27.681482315063477,3.3562517,log,2024-11-02,2024-11-30,4
28,2024-11-02,2024-11-09,1,15.273455619812012,2.7895353,log,2024-11-02,2024-11-09,1
28,2024-11-02,2024-11-16,2,21.579734802246094,3.1170528,log,2024-11-02,2024-11-16,2
28,2024-11-02,2024-11-23,3,39.027313232421875,3.689562,log,2024-11-02,2024-11-23,3
28,2024-11-02,2024-11-30,4,54.62437057495117,4.0186214,log,2024-11-02,2024-11-30,4
29,2024-11-02,2024-11-09,1,17.61004066467285,2.9237013,log,2024-11-02,2024-11-09,1
29,2024-11-02,2024-11-16,2,29.77861213684082,3.42682,log,2024-11-02,2024-11-16,2
29,2024-11-02,2024-11-23,3,49.71500778198242,3.9262218,log,2024-11-02,2024-11-23,3
29,2024-11-02,2024-11-30,4,83.41392517089844,4.4357324,log,2024-11-02,2024-11-30,4
30,2024-11-02,2024-11-09,1,0.9832505583763123,0.6847372,log,2024-11-02,2024-11-09,1
30,2024-11-02,2024-11-16,2,1.5613552331924438,0.9405365,log,2024-11-02,2024-11-16,2
30,2024-11-02,2024-11-23,3,3.566957473754883,1.5188472,log,2024-11-02,2024-11-23,3
30,2024-11-02,2024-11-30,4,6.536141395568848,2.0197103,log,2024-11-02,2024-11-30,4
31,2024-11-02,2024-11-09,1,2.1883816719055176,1.1595135,log,2024-11-02,2024-11-09,1
31,2024-11-02,2024-11-16,2,3.3862011432647705,1.4784635,log,2024-11-02,2024-11-16,2
31,2024-11-02,2024-11-23,3,5.263901233673096,1.8348032,log,2024-11-02,2024-11-23,3
31,2024-11-02,2024-11-30,4,10.66268253326416,2.4563942,log,2024-11-02,2024-11-30,4
32,2024-11-02,2024-11-09,1,10.710570335388184,2.460492,log,2024-11-02,2024-11-09,1
32,2024-11-02,2024-11-16,2,16.71079444885254,2.8741744,log,2024-11-02,2024-11-16,2
32,2024-11-02,2024-11-23,3,33.01604461669922,3.5268323,log,2024-11-02,2024-11-23,3
32,2024-11-02,2024-11-30,4,53.523468017578125,3.9986312,log,2024-11-02,2024-11-30,4
33,2024-11-02,2024-11-09,1,1.9850820302963257,1.0936272,log,2024-11-02,2024-11-09,1
33,2024-11-02,2024-11-16,2,3.060091018676758,1.4012054,log,2024-11-02,2024-11-16,2
33,2024-11-02,2024-11-23,3,6.246159553527832,1.9804716,log,2024-11-02,2024-11-23,3
33,2024-11-02,2024-11-30,4,9.586398124694824,2.35957,log,2024-11-02,2024-11-30,4
34,2024-11-02,2024-11-09,1,17.287334442138672,2.9062088,log,2024-11-02,2024-11-09,1
34,2024-11-02,2024-11-16,2,25.898529052734375,3.2920716,log,2024-11-02,2024-11-16,2
34,2024-11-02,2024-11-23,3,49.27574157714844,3.9175227,log,2024-11-02,2024-11-23,3
34,2024-11-02,2024-11-30,4,70.32046508789062,4.2671833,log,2024-11-02,2024-11-30,4
35,2024-11-02,2024-11-09,1,5.312316417694092,1.8425027,log,2024-11-02,2024-11-09,1
35,2024-11-02,2024-11-16,2,7.15992546081543,2.099235,log,2024-11-02,2024-11-16,2
35,2024-11-02,2024-11-23,3,13.054855346679688,2.642968,log,2024-11-02,2024-11-23,3
35,2024-11-02,2024-11-30,4,20.225534439086914,3.0552049,log,2024-11-02,2024-11-30,4
36,2024-11-02,2024-11-09,1,31.527385711669922,3.4820824,log,2024-11-02,2024-11-09,1
36,2024-11-02,2024-11-16,2,36.804420471191406,3.632426,log,2024-11-02,2024-11-16,2
36,2024-11-02,2024-11-23,3,58.032535552978516,4.0780888,log,2024-11-02,2024-11-23,3
36,2024-11-02,2024-11-30,4,97.76934051513672,4.5927873,log,2024-11-02,2024-11-30,4
37,2024-11-02,2024-11-09,1,24.132890701293945,3.2241774,log,2024-11-02,2024-11-09,1
37,2024-11-02,2024-11-16,2,28.916261672973633,3.3984022,log,2024-11-02,2024-11-16,2
37,2024-11-02,2024-11-23,3,35.293235778808594,3.5916314,log,2024-11-02,2024-11-23,3
37,2024-11-02,2024-11-30,4,41.83958435058594,3.7574625,log,2024-11-02,2024-11-30,4
38,2024-11-02,2024-11-09,1,0.6752066016197205,0.5159365,log,2024-11-02,2024-11-09,1
38,2024-11-02,2024-11-16,2,1.740582823753357,1.0081706,log,2024-11-02,2024-11-16,2
38,2024-11-02,2024-11-23,3,3.6656923294067383,1.5402362,log,2024-11-02,2024-11-23,3
38,2024-11-02,2024-11-30,4,6.017489433288574,1.9484055,log,2024-11-02,2024-11-30,4
39,2024-11-02,2024-11-09,1,33.57732391357422,3.543198,log,2024-11-02,2024-11-09,1
39,2024-11-02,2024-11-16,2,45.36286163330078,3.8364987,log,2024-11-02,2024-11-16,2
39,2024-11-02,2024-11-23,3,55.119293212890625,4.0274796,log,2024-11-02,2024-11-23,3
39,2024-11-02,2024-11-30,4,89.5055923461914,4.5054116,log,2024-11-02,2024-11-30,4
40,2024-11-02,2024-11-09,1,6.712738990783691,2.0428734,log,2024-11-02,2024-11-09,1
40,2024-11-02,2024-11-16,2,8.100845336914062,2.2083673,log,2024-11-02,2024-11-16,2
40,2024-11-02,2024-11-23,3,15.91279411315918,2.8280704,log,2024-11-02,2024-11-23,3
40,2024-11-02,2024-11-30,4,29.675193786621094,3.4234543,log,2024-11-02,2024-11-30,4
41,2024-11-02,2024-11-09,1,9.742086410522461,2.3741693,log,2024-11-02,2024-11-09,1
41,2024-11-02,2024-11-16,2,14.086382865905762,2.7137926,log,2024-11-02,2024-11-16,2
41,2024-11-02,2024-11-23,3,15.61083984375,2.8100555,log,2024-11-02,2024-11-23,3
41,2024-11-02,2024-11-30,4,31.509305953979492,3.4815264,log,2024-11-02,2024-11-30,4
42,2024-11-02,2024-11-09,1,82.08151245117188,4.419822,log,2024-11-02,2024-11-09,1
42,2024-11-02,2024-11-16,2,82.18338775634766,4.4210477,log,2024-11-02,2024-11-16,2
42,2024-11-02,2024-11-23,3,125.21068572998047,4.8379526,log,2024-11-02,2024-11-23,3
42,2024-11-02,2024-11-30,4,175.61447143554688,5.1739693,log,2024-11-02,2024-11-30,4
44,2024-11-02,2024-11-09,1,0.8577588200569153,0.6193708,log,2024-11-02,2024-11-09,1
44,2024-11-02,2024-11-16,2,1.6700153350830078,0.9820842,log,2024-11-02,2024-11-16,2
44,2024-11-02,2024-11-23,3,3.91593861579895,1.5924827,log,2024-11-02,2024-11-23,3
44,2024-11-02,2024-11-30,4,5.021020412445068,1.7952567,log,2024-11-02,2024-11-30,4
45,2024-11-02,2024-11-09,1,17.711782455444336,2.9291534,log,2024-11-02,2024-11-09,1
45,2024-11-02,2024-11-16,2,27.501005172729492,3.3499393,log,2024-11-02,2024-11-16,2
45,2024-11-02,2024-11-23,3,47.108707427978516,3.8734632,log,2024-11-02,2024-11-23,3
45,2024-11-02,2024-11-30,4,77.25042724609375,4.3599143,log,2024-11-02,2024-11-30,4
46,2024-11-02,2024-11-09,1,1.3650293350219727,0.86079043,log,2024-11-02,2024-11-09,1
46,2024-11-02,2024-11-16,2,2.65744686126709,1.2967653,log,2024-11-02,2024-11-16,2
46,2024-11-02,2024-11-23,3,5.806178569793701,1.9178308,log,2024-11-02,2024-11-23,3
46,2024-11-02,2024-11-30,4,7.649155139923096,2.1574616,log,2024-11-02,2024-11-30,4
47,2024-11-02,2024-11-09,1,62.92226028442383,4.1576676,log,2024-11-02,2024-11-09,1
47,2024-11-02,2024-11-16,2,78.74969482421875,4.378893,log,2024-11-02,2024-11-16,2
47,2024-11-02,2024-11-23,3,99.7371826171875,4.612515,log,2024-11-02,2024-11-23,3
47,2024-11-02,2024-11-30,4,161.22674560546875,5.088995,log,2024-11-02,2024-11-30,4
48,2024-11-02,2024-11-09,1,131.257568359375,4.8847513,log,2024-11-02,2024-11-09,1
48,2024-11-02,2024-11-16,2,183.5676727294922,5.218016,log,2024-11-02,2024-11-16,2
48,2024-11-02,2024-11-23,3,242.80596923828125,5.4963727,log,2024-11-02,2024-11-23,3
48,2024-11-02,2024-11-30,4,366.5079650878906,5.906745,log,2024-11-02,2024-11-30,4
49,2024-11-02,2024-11-09,1,3.4488022327423096,1.4926349,log,2024-11-02,2024-11-09,1
49,2024-11-02,2024-11-16,2,3.8617188930511475,1.581392,log,2024-11-02,2024-11-16,2
49,2024-11-02,2024-11-23,3,8.223838806152344,2.2217913,log,2024-11-02,2024-11-23,3
49,2024-11-02,2024-11-30,4,13.125543594360352,2.6479847,log,2024-11-02,2024-11-30,4
50,2024-11-02,2024-11-09,1,0.9439311027526855,0.66471225,log,2024-11-02,2024-11-09,1
50,2024-11-02,2024-11-16,2,1.2644537687301636,0.8173336,log,2024-11-02,2024-11-16,2
