location,cutoff_date,forecast_date,forecast_week,predicted,predicted_q05,predicted_q25,predicted_q50,predicted_q75,predicted_q95,target_mode
01,2026-01-31,2026-02-07,1,227.16531372070312,77.7,144.76393127441406,227.16531372070312,234.02603149414062,238.35816955566406,log
01,2026-01-31,2026-02-14,2,154.86187744140625,31.08062171936035,107.1994400024414,154.86187744140625,228.89047241210938,308.1026916503906,log
01,2026-01-31,2026-02-21,3,173.89578247070312,18.047168731689453,95.89657592773438,173.89578247070312,219.0407257080078,372.6668701171875,log
01,2026-01-31,2026-02-28,4,219.30287170410156,12.057300567626953,142.93409729003906,219.30287170410156,221.76309204101562,588.8372192382812,log
02,2026-01-31,2026-02-07,1,20.993770599365234,12.769941329956055,17.992902755737305,20.993770599365234,31.55404281616211,59.948673248291016,log
02,2026-01-31,2026-02-14,2,20.067073822021484,8.83353328704834,13.26945972442627,20.067073822021484,27.113981246948242,65.61195373535156,log
02,2026-01-31,2026-02-21,3,20.613420486450195,10.184989929199219,13.050975799560547,20.613420486450195,26.782567977905273,71.51143646240234,log
02,2026-01-31,2026-02-28,4,22.683395385742188,9.967693328857422,13.89486026763916,22.683395385742188,27.795578002929688,82.55775451660156,log
04,2026-01-31,2026-02-07,1,226.12615966796875,78.0,173.07916259765625,226.12615966796875,257.70684814453125,342.8744812011719,log
04,2026-01-31,2026-02-14,2,254.12637329101562,34.78524398803711,171.44761657714844,254.12637329101562,273.3847961425781,444.7799072265625,log
04,2026-01-31,2026-02-21,3,255.5236053466797,23.2515811920166,179.0812225341797,255.5236053466797,260.3476867675781,419.1267395019531,log
04,2026-01-31,2026-02-28,4,234.01976013183594,13.593049049377441,181.99386596679688,234.01976013183594,306.130859375,481.8606262207031,log
05,2026-01-31,2026-02-07,1,197.4735107421875,59.699999999999996,150.3385467529297,197.4735107421875,208.3399200439453,263.1187744140625,log
05,2026-01-31,2026-02-14,2,179.78724670410156,34.78524398803711,142.9365692138672,179.78724670410156,197.0157012939453,392.72930908203125,log
05,2026-01-31,2026-02-21,3,187.32374572753906,23.2515811920166,109.8968505859375,187.32374572753906,203.07492065429688,425.8673400878906,log
05,2026-01-31,2026-02-28,4,179.49989318847656,13.593049049377441,163.8971405029297,179.49989318847656,232.20382690429688,483.1240234375,log
06,2026-01-31,2026-02-07,1,821.8102416992188,446.4,665.5033569335938,821.8102416992188,1061.057861328125,1214.6868896484375,log
06,2026-01-31,2026-02-14,2,618.2125854492188,127.22399999999999,494.818603515625,618.2125854492188,674.9402465820312,909.981201171875,log
06,2026-01-31,2026-02-21,3,547.3882446289062,34.35048,423.8899841308594,547.3882446289062,597.9030151367188,961.5701904296875,log
06,2026-01-31,2026-02-28,4,568.60986328125,12.449665069580078,387.2992248535156,568.60986328125,624.2886352539062,887.0772094726562,log
08,2026-01-31,2026-02-07,1,123.96866607666016,44.4,109.17024230957031,123.96866607666016,128.12762451171875,222.50106811523438,log
08,2026-01-31,2026-02-14,2,97.94135284423828,27.547147750854492,92.84129333496094,97.94135284423828,107.12738800048828,275.3837890625,log
08,2026-01-31,2026-02-21,3,91.56222534179688,16.242698669433594,62.207462310791016,91.56222534179688,98.44190216064453,320.0213928222656,log
08,2026-01-31,2026-02-28,4,115.18438720703125,10.836227416992188,105.90155792236328,115.18438720703125,142.74301147460938,567.9116821289062,log
09,2026-01-31,2026-02-07,1,65.45249938964844,43.798526763916016,62.524845123291016,65.45249938964844,76.2928466796875,204.30325317382812,log
09,2026-01-31,2026-02-14,2,70.04499053955078,27.547147750854492,42.5666618347168,70.04499053955078,103.33271026611328,228.403076171875,log
09,2026-01-31,2026-02-21,3,63.5800666809082,16.242698669433594,38.141876220703125,63.5800666809082,77.63175964355469,296.5354309082031,log
09,2026-01-31,2026-02-28,4,82.27864074707031,10.836227416992188,76.60613250732422,82.27864074707031,90.95254516601562,435.8328857421875,log
10,2026-01-31,2026-02-07,1,53.25390625,47.60710525512695,52.06306457519531,53.25390625,80.6700668334961,167.2836456298828,log
10,2026-01-31,2026-02-14,2,54.81441879272461,31.08062171936035,37.33058166503906,54.81441879272461,94.84709167480469,142.7606964111328,log
10,2026-01-31,2026-02-21,3,45.33195495605469,18.047168731689453,32.613285064697266,45.33195495605469,78.49539184570312,130.3858642578125,log
10,2026-01-31,2026-02-28,4,57.8520393371582,12.449665069580078,45.078495025634766,57.8520393371582,76.51818084716797,202.79408264160156,log
11,2026-01-31,2026-02-07,1,13.782538414001465,7.3577775955200195,8.361039161682129,13.782538414001465,30.539493560791016,76.78047180175781,log
11,2026-01-31,2026-02-14,2,13.014137268066406,3.8342761993408203,6.570980072021484,13.014137268066406,30.066083908081055,77.99282836914062,log
11,2026-01-31,2026-02-21,3,13.462310791015625,4.663131237030029,7.513511657714844,13.462310791015625,32.50839614868164,85.27686309814453,log
11,2026-01-31,2026-02-28,4,20.11671257019043,4.772018909454346,9.175222396850586,20.11671257019043,42.540340423583984,133.01792907714844,log
12,2026-01-31,2026-02-07,1,1051.982666015625,444.0,743.8927612304688,1051.982666015625,1112.3817138671875,1245.4908447265625,log
12,2026-01-31,2026-02-14,2,765.1795654296875,126.53999999999999,494.6944885253906,765.1795654296875,797.5654907226562,921.5673217773438,log
12,2026-01-31,2026-02-21,3,588.7807006835938,34.1658,413.128173828125,588.7807006835938,679.05224609375,946.3057861328125,log
12,2026-01-31,2026-02-28,4,639.1529541015625,12.449665069580078,383.70343017578125,639.1529541015625,667.345703125,1016.8787231445312,log
13,2026-01-31,2026-02-07,1,213.50045776367188,90.3,160.3055877685547,213.50045776367188,217.64892578125,377.0964050292969,log
13,2026-01-31,2026-02-14,2,210.3660430908203,27.547147750854492,161.3459930419922,210.3660430908203,211.56689453125,365.4468078613281,log
13,2026-01-31,2026-02-21,3,174.46949768066406,16.242698669433594,151.13906860351562,174.46949768066406,196.56874084472656,468.4139404296875,log
13,2026-01-31,2026-02-28,4,180.62660217285156,10.836227416992188,173.8807830810547,180.62660217285156,237.8245086669922,752.1383666992188,log
15,2026-01-31,2026-02-07,1,26.441240310668945,11.225685119628906,14.361614227294922,26.441240310668945,35.953651428222656,80.62615203857422,log
15,2026-01-31,2026-02-14,2,20.1112060546875,7.195998668670654,13.401861190795898,20.1112060546875,27.102333068847656,80.48751068115234,log
15,2026-01-31,2026-02-21,3,19.19670867919922,7.991288661956787,9.567231178283691,19.19670867919922,26.15863609313965,80.87106323242188,log
15,2026-01-31,2026-02-28,4,21.67561149597168,8.942035675048828,10.835121154785156,21.67561149597168,29.962724685668945,101.63860321044922,log
16,2026-01-31,2026-02-07,1,74.4511489868164,39.607093811035156,61.24797058105469,74.4511489868164,92.6181411743164,141.59046936035156,log
16,2026-01-31,2026-02-14,2,52.10702133178711,27.233055114746094,41.352542877197266,52.10702133178711,92.2572021484375,151.89877319335938,log
16,2026-01-31,2026-02-21,3,61.27635192871094,18.047168731689453,37.080718994140625,61.27635192871094,78.6099853515625,121.34789276123047,log
16,2026-01-31,2026-02-28,4,56.57649612426758,12.057300567626953,45.41757583618164,56.57649612426758,76.89189147949219,157.1190643310547,log
17,2026-01-31,2026-02-07,1,356.8266906738281,154.2,340.8935241699219,356.8266906738281,371.1995849609375,507.5837097167969,log
17,2026-01-31,2026-02-14,2,314.16522216796875,43.946999999999996,261.0847473144531,314.16522216796875,340.806640625,654.1525268554688,log
17,2026-01-31,2026-02-21,3,259.6141052246094,16.714279174804688,228.558349609375,259.6141052246094,313.48504638671875,672.7357177734375,log
17,2026-01-31,2026-02-28,4,271.74041748046875,12.057300567626953,218.38006591796875,271.74041748046875,358.1382751464844,943.9927368164062,log
18,2026-01-31,2026-02-07,1,245.83319091796875,92.1,223.69285583496094,245.83319091796875,258.84747314453125,355.9849548339844,log
18,2026-01-31,2026-02-14,2,238.54417419433594,31.08062171936035,173.41583251953125,238.54417419433594,248.3622283935547,407.5912780761719,log
18,2026-01-31,2026-02-21,3,190.78955078125,18.047168731689453,173.8585968017578,190.78955078125,256.10284423828125,509.80780029296875,log
18,2026-01-31,2026-02-28,4,244.75741577148438,12.057300567626953,201.20901489257812,244.75741577148438,282.9930114746094,841.3146362304688,log
19,2026-01-31,2026-02-07,1,163.40682983398438,64.5,116.91609191894531,163.40682983398438,181.43435668945312,223.8609161376953,log
19,2026-01-31,2026-02-14,2,132.4517059326172,31.08062171936035,94.14888000488281,132.4517059326172,197.4346160888672,292.43450927734375,log
19,2026-01-31,2026-02-21,3,138.67259216308594,18.047168731689453,73.85295104980469,138.67259216308594,141.46705627441406,344.21575927734375,log
19,2026-01-31,2026-02-28,4,130.5098419189453,12.449665069580078,77.6987533569336,130.5098419189453,167.68685913085938,481.5227355957031,log
20,2026-01-31,2026-02-07,1,143.758056640625,58.5,94.60179901123047,143.758056640625,167.95848083496094,212.9020233154297,log
20,2026-01-31,2026-02-14,2,113.05274200439453,31.08062171936035,82.65718078613281,113.05274200439453,161.33538818359375,247.0778045654297,log
20,2026-01-31,2026-02-21,3,138.67738342285156,18.047168731689453,71.58574676513672,138.67738342285156,140.14686584472656,289.63775634765625,log
20,2026-01-31,2026-02-28,4,113.05937194824219,12.449665069580078,70.48365020751953,113.05937194824219,141.2553253173828,312.8618469238281,log
21,2026-01-31,2026-02-07,1,167.6928253173828,73.8,156.07345581054688,167.6928253173828,234.39019775390625,236.8889923095703,log
21,2026-01-31,2026-02-14,2,150.6370849609375,31.08062171936035,104.50709533691406,150.6370849609375,203.23057556152344,295.4780578613281,log
21,2026-01-31,2026-02-21,3,139.3280792236328,18.047168731689453,80.2817153930664,139.3280792236328,144.28936767578125,372.6668701171875,log
21,2026-01-31,2026-02-28,4,158.34970092773438,12.449665069580078,102.70803833007812,158.34970092773438,162.05819702148438,613.0216064453125,log
22,2026-01-31,2026-02-07,1,197.90969848632812,78.0,174.80633544921875,197.90969848632812,244.7460479736328,269.7193908691406,log
22,2026-01-31,2026-02-14,2,181.8291015625,31.08062171936035,158.45733642578125,181.8291015625,203.8043975830078,303.8114013671875,log
22,2026-01-31,2026-02-21,3,145.7692413330078,18.047168731689453,97.57357025146484,145.7692413330078,174.72947692871094,375.435791015625,log
22,2026-01-31,2026-02-28,4,157.38497924804688,12.057300567626953,96.23834228515625,157.38497924804688,186.82861328125,590.0027465820312,log
23,2026-01-31,2026-02-07,1,54.45466613769531,30.095844268798828,39.13579559326172,54.45466613769531,72.31658935546875,141.59046936035156,log
23,2026-01-31,2026-02-14,2,38.27565002441406,21.54483413696289,29.946857452392578,38.27565002441406,71.36384582519531,140.6763916015625,log
23,2026-01-31,2026-02-21,3,43.031673431396484,14.039348602294922,20.407756805419922,43.031673431396484,65.21495819091797,108.43685913085938,log
23,2026-01-31,2026-02-28,4,43.59910202026367,11.19190502166748,20.333724975585938,43.59910202026367,62.42605209350586,152.50225830078125,log
24,2026-01-31,2026-02-07,1,86.45693969726562,43.798526763916016,84.97997283935547,86.45693969726562,98.95638275146484,204.30325317382812,log
24,2026-01-31,2026-02-14,2,72.27206420898438,27.547147750854492,70.56680297851562,72.27206420898438,100.84243774414062,272.4536437988281,log
24,2026-01-31,2026-02-21,3,72.25096893310547,16.242698669433594,58.35600662231445,72.25096893310547,106.44197845458984,350.68243408203125,log
24,2026-01-31,2026-02-28,4,111.4344253540039,10.836227416992188,83.96097564697266,111.4344253540039,122.16021728515625,600.6818237304688,log
25,2026-01-31,2026-02-07,1,158.52586364746094,61.8,152.05735778808594,158.52586364746094,176.77320861816406,294.0881042480469,log
25,2026-01-31,2026-02-14,2,150.71498107910156,27.547147750854492,119.72816467285156,150.71498107910156,209.1491241455078,345.7898864746094,log
25,2026-01-31,2026-02-21,3,142.28192138671875,16.242698669433594,108.05601501464844,142.28192138671875,199.09474182128906,507.0286865234375,log
25,2026-01-31,2026-02-28,4,159.49935913085938,10.836227416992188,146.46421813964844,159.49935913085938,191.8351287841797,664.2960815429688,log
26,2026-01-31,2026-02-07,1,225.87049865722656,84.89999999999999,188.85057067871094,225.87049865722656,228.63870239257812,380.5,log
26,2026-01-31,2026-02-14,2,193.6869354248047,27.547147750854492,137.2744140625,193.6869354248047,229.3127899169922,375.6316833496094,log
26,2026-01-31,2026-02-21,3,171.56813049316406,16.242698669433594,134.3435516357422,171.56813049316406,224.8095703125,523.0757446289062,log
26,2026-01-31,2026-02-28,4,222.1874237060547,10.836227416992188,157.8973388671875,222.1874237060547,238.09523010253906,832.6314697265625,log
27,2026-01-31,2026-02-07,1,147.38662719726562,62.699999999999996,124.76138305664062,147.38662719726562,157.06968688964844,275.0925598144531,log
27,2026-01-31,2026-02-14,2,128.08070373535156,27.547147750854492,114.94037628173828,128.08070373535156,150.41468811035156,332.3527526855469,log
27,2026-01-31,2026-02-21,3,105.55889129638672,16.242698669433594,95.07244873046875,105.55889129638672,193.22970581054688,424.47247314453125,log
27,2026-01-31,2026-02-28,4,122.3060073852539,10.836227416992188,108.27391052246094,122.3060073852539,142.584228515625,698.3423461914062,log
28,2026-01-31,2026-02-07,1,105.44320678710938,49.45712661743164,74.59951782226562,105.44320678710938,113.32787322998047,171.24143981933594,log
28,2026-01-31,2026-02-14,2,69.5770034790039,31.08062171936035,65.8357162475586,69.5770034790039,119.41769409179688,202.33416748046875,log
28,2026-01-31,2026-02-21,3,89.51676940917969,18.047168731689453,70.17369842529297,89.51676940917969,100.5956039428711,252.90765380859375,log
28,2026-01-31,2026-02-28,4,112.75645446777344,12.449665069580078,89.29901885986328,112.75645446777344,139.59034729003906,391.2262878417969,log
29,2026-01-31,2026-02-07,1,230.28004455566406,108.0,214.24851989746094,230.28004455566406,303.9787292480469,308.0592041015625,log
29,2026-01-31,2026-02-14,2,212.17379760742188,31.08062171936035,155.65159606933594,212.17379760742188,246.3750762939453,450.8132019042969,log
29,2026-01-31,2026-02-21,3,173.79574584960938,18.047168731689453,138.14324951171875,173.79574584960938,226.7304229736328,613.5359497070312,log
29,2026-01-31,2026-02-28,4,186.3294219970703,12.449665069580078,186.1505889892578,186.3294219970703,240.2408905029297,734.1322631835938,log
30,2026-01-31,2026-02-07,1,45.12818908691406,34.02362823486328,37.146278381347656,45.12818908691406,79.73529052734375,129.0050506591797,log
30,2026-01-31,2026-02-14,2,39.782310485839844,17.148639678955078,31.626483917236328,39.782310485839844,63.09773254394531,132.37918090820312,log
30,2026-01-31,2026-02-21,3,34.53970718383789,13.078214645385742,21.923051834106445,34.53970718383789,58.22536087036133,103.52312469482422,log
30,2026-01-31,2026-02-28,4,35.11009216308594,11.137493133544922,24.562423706054688,35.11009216308594,53.91392135620117,144.25631713867188,log
31,2026-01-31,2026-02-07,1,109.26741790771484,49.45712661743164,78.02466583251953,109.26741790771484,111.78984832763672,169.4105987548828,log
31,2026-01-31,2026-02-14,2,73.65963745117188,31.08062171936035,73.24296569824219,73.65963745117188,119.93096923828125,229.51858520507812,log
31,2026-01-31,2026-02-21,3,97.49059295654297,18.047168731689453,57.37333679199219,97.49059295654297,119.53897094726562,229.89425659179688,log
31,2026-01-31,2026-02-28,4,92.38299560546875,12.449665069580078,74.43751525878906,92.38299560546875,126.59542846679688,312.8618469238281,log
32,2026-01-31,2026-02-07,1,80.3718032836914,49.45712661743164,73.23588562011719,80.3718032836914,106.74349212646484,158.66976928710938,log
32,2026-01-31,2026-02-14,2,75.96339416503906,31.08062171936035,61.17695236206055,75.96339416503906,124.00680541992188,183.38548278808594,log
32,2026-01-31,2026-02-21,3,83.57782745361328,18.047168731689453,58.03385925292969,83.57782745361328,94.81355285644531,158.53163146972656,log
32,2026-01-31,2026-02-28,4,92.79239654541016,12.449665069580078,66.51268768310547,92.79239654541016,135.724609375,186.22439575195312,log
33,2026-01-31,2026-02-07,1,37.20757293701172,30.254539489746094,32.019771575927734,37.20757293701172,57.227779388427734,140.336181640625,log
33,2026-01-31,2026-02-14,2,29.70235252380371,15.504443168640137,18.140186309814453,29.70235252380371,64.90462493896484,127.64824676513672,log
33,2026-01-31,2026-02-21,3,22.971412658691406,12.90872573852539,15.47910213470459,22.971412658691406,56.31987380981445,121.85808563232422,log
33,2026-01-31,2026-02-28,4,29.85246467590332,11.19190502166748,14.054401397705078,29.85246467590332,54.1547737121582,140.2409210205078,log
34,2026-01-31,2026-02-07,1,221.63067626953125,89.39999999999999,219.6381378173828,221.63067626953125,222.87673950195312,355.94189453125,log
34,2026-01-31,2026-02-14,2,213.60287475585938,27.547147750854492,181.4326934814453,213.60287475585938,228.75338745117188,520.821533203125,log
34,2026-01-31,2026-02-21,3,210.83755493164062,16.242698669433594,149.6223602294922,210.83755493164062,216.591796875,474.7893371582031,log
34,2026-01-31,2026-02-28,4,236.08859252929688,10.836227416992188,167.89112854003906,236.08859252929688,250.92703247070312,752.1383666992188,log
35,2026-01-31,2026-02-07,1,68.45687103271484,43.798526763916016,55.435733795166016,68.45687103271484,77.29275512695312,165.81289672851562,log
35,2026-01-31,2026-02-14,2,66.51410675048828,27.547147750854492,59.958030700683594,66.51410675048828,89.9682388305664,183.8694305419922,log
35,2026-01-31,2026-02-21,3,58.72679901123047,16.242698669433594,41.9724235534668,58.72679901123047,92.9267578125,144.46121215820312,log
35,2026-01-31,2026-02-28,4,65.86363983154297,10.836227416992188,49.81959533691406,65.86363983154297,100.27434539794922,224.4636688232422,log
36,2026-01-31,2026-02-07,1,333.16473388671875,110.1,242.2620391845703,333.16473388671875,368.4355773925781,522.0928344726562,log
36,2026-01-31,2026-02-14,2,270.2517395019531,31.378499999999995,240.67080688476562,270.2517395019531,279.36669921875,575.2978515625,log
36,2026-01-31,2026-02-21,3,244.943115234375,16.242698669433594,188.66128540039062,244.943115234375,248.2564239501953,610.66015625,log
36,2026-01-31,2026-02-28,4,283.8377990722656,10.836227416992188,218.80886840820312,283.8377990722656,356.1169128417969,926.07421875,log
37,2026-01-31,2026-02-07,1,314.8218994140625,123.6,263.12164306640625,314.8218994140625,333.7388610839844,518.9395751953125,log
