feature,mean_abs_shap,rank
value_rolling_min_4,0.3512188,1
value_lag_1,0.23918405,2
week_cos,0.17391524,3
value_rolling_mean_4,0.16636181,4
value_rolling_max_4,0.14114606,5
value_trend_4w,0.11495359,6
momentum_4w,0.1109974,7
month_cos,0.10610299,8
value_rolling_std_4,0.07903373,9
value_rolling_min_8,0.074329846,10
weekly_rate,0.06992769,11
momentum_4w_pct,0.05958281,12
season_severity_ratio,0.054123163,13
value_lag_52,0.051129792,14
rate_lag_4,0.049752086,15
wow_change,0.047186874,16
rate_rolling_mean_4,0.044942167,17
rate_trend_4w,0.04217192,18
day_of_year,0.040828627,19
month,0.039806798,20
week_sin,0.039408676,21
year,0.039156985,22
day_cos,0.03645836,23
week_of_year,0.03256289,24
recent_vs_historical,0.03153098,25
wow_pct_change,0.031211441,26
value_rolling_mean_8,0.02753009,27
us_total_rolling_std_8,0.026535349,28
us_total_lag_4,0.026123773,29
us_total_lag_3,0.025631687,30
us_total_rolling_mean_8,0.02261219,31
yoy_diff,0.02252087,32
rate_lag_1,0.021113437,33
value_lag_3,0.019118516,34
us_total_lag_1,0.018346855,35
day_sin,0.017586257,36
value_lag_2,0.015095328,37
value_rolling_max_8,0.013857105,38
location_name,0.013770034,39
value_lag_4,0.0135862855,40
recent_severity_ratio,0.012824393,41
season_phase_sin,0.010654458,42
us_total_rolling_mean_4,0.009938951,43
us_total_rolling_std_4,0.00622349,44
us_total_lag_2,0.005708099,45
value_rolling_std_8,0.0057060514,46
acceleration,0.005557664,47
value_lag_12,0.0022331672,48
value_lag_8,0.0020437744,49
