feature,mean_abs_shap,rank
value_rolling_mean_4,0.28841886,1
value_rolling_min_4,0.25665668,2
value_lag_1,0.23149094,3
value_rolling_max_4,0.16464856,4
value_rolling_mean_8,0.106080435,5
momentum_4w,0.087513,6
value_rolling_min_8,0.073976435,7
us_total_rolling_mean_4,0.06755873,8
value_trend_4w,0.061391078,9
value_rolling_std_4,0.059171166,10
weekly_rate,0.055885393,11
value_lag_3,0.055474114,12
week_cos,0.05422478,13
rate_trend_4w,0.051446553,14
momentum_4w_pct,0.046784833,15
day_of_year,0.037758783,16
wow_pct_change,0.032757107,17
month_cos,0.032720674,18
wow_change,0.032133397,19
recent_vs_historical,0.031995248,20
value_lag_2,0.028299393,21
week_of_year,0.025875399,22
value_lag_52,0.023380227,23
day_cos,0.01869305,24
rate_lag_4,0.015875382,25
season_severity_ratio,0.013810947,26
rate_lag_1,0.012319635,27
year,0.01207901,28
us_total_rolling_mean_8,0.0120745525,29
week_sin,0.01180237,30
value_rolling_max_8,0.011450322,31
us_total_rolling_std_8,0.011001884,32
us_total_rolling_std_4,0.009909201,33
rate_rolling_mean_4,0.009016761,34
day_sin,0.006657536,35
yoy_diff,0.006378429,36
value_rolling_std_8,0.0062186643,37
us_total_lag_4,0.0050834315,38
season_phase_sin,0.004291352,39
month,0.004291008,40
recent_severity_ratio,0.002855253,41
value_lag_4,0.0018803595,42
us_total_lag_2,0.001723568,43
value_lag_12,0.0015986018,44
us_total_lag_1,0.001542494,45
value_lag_8,0.0004645902,46
us_total_lag_3,0.0,47
acceleration,0.0,48
location_name,0.0,49
