horizon,total_forecasts,flat_during_increase,flat_pct,underestimated_growth,correct_direction,correct_direction_pct,mean_abs_error,mean_pct_error
1,1378,0,0.0,0,0,0.0,406.9102463030504,37.67669498146049
2,1378,35,2.539912917271408,173,996,72.27866473149493,521.5779509295427,52.490008780893284
3,1378,30,2.1770682148040637,144,790,57.32946298984035,586.4850132635231,73.23525048570066
4,1378,46,3.3381712626995643,159,906,65.74746008708273,621.6993500972532,83.5873411574305
