location,cutoff_date,forecast_date,forecast_week,horizon,forecast,predicted,predicted_q05,predicted_q25,predicted_q50,predicted_q75,predicted_q95,reference_date,target_end_date,model_family
13,2025-10-04,2025-10-18,2,2,25.0,25.0,0.0,13.0,25.0,28.0,35.0,2025-10-04,2025-10-18,persistence
13,2025-10-04,2025-10-25,3,3,24.0,24.0,0.0,9.0,24.0,28.0,35.0,2025-10-04,2025-10-25,persistence
13,2025-10-04,2025-11-01,4,4,23.0,23.0,0.0,3.0,23.0,27.0,35.0,2025-10-04,2025-11-01,persistence
15,2025-10-04,2025-10-11,1,1,0.0,0.0,0.0,0.0,0.0,2.0,9.0,2025-10-04,2025-10-11,persistence
15,2025-10-04,2025-10-18,2,2,0.0,0.0,0.0,0.0,0.0,2.0,9.0,2025-10-04,2025-10-18,persistence
15,2025-10-04,2025-10-25,3,3,0.0,0.0,0.0,0.0,0.0,2.0,9.0,2025-10-04,2025-10-25,persistence
15,2025-10-04,2025-11-01,4,4,0.0,0.0,0.0,0.0,0.0,1.0,9.0,2025-10-04,2025-11-01,persistence
16,2025-10-04,2025-10-11,1,1,0.0,0.0,0.0,0.0,0.0,3.0,10.0,2025-10-04,2025-10-11,persistence
16,2025-10-04,2025-10-18,2,2,0.0,0.0,0.0,0.0,0.0,3.0,10.0,2025-10-04,2025-10-18,persistence
16,2025-10-04,2025-10-25,3,3,0.0,0.0,0.0,0.0,0.0,3.0,10.0,2025-10-04,2025-10-25,persistence
16,2025-10-04,2025-11-01,4,4,0.0,0.0,0.0,0.0,0.0,2.0,10.0,2025-10-04,2025-11-01,persistence
17,2025-10-04,2025-10-11,1,1,12.0,12.0,0.0,5.0,12.0,15.0,22.0,2025-10-04,2025-10-11,persistence
17,2025-10-04,2025-10-18,2,2,12.0,12.0,0.0,0.0,12.0,15.0,22.0,2025-10-04,2025-10-18,persistence
17,2025-10-04,2025-10-25,3,3,11.0,11.0,0.0,0.0,11.0,15.0,22.0,2025-10-04,2025-10-25,persistence
17,2025-10-04,2025-11-01,4,4,10.0,10.0,0.0,0.0,10.0,14.0,22.0,2025-10-04,2025-11-01,persistence
18,2025-10-04,2025-10-11,1,1,16.0,16.0,0.0,9.0,16.0,19.0,26.0,2025-10-04,2025-10-11,persistence
18,2025-10-04,2025-10-18,2,2,16.0,16.0,0.0,4.0,16.0,19.0,26.0,2025-10-04,2025-10-18,persistence
18,2025-10-04,2025-10-25,3,3,15.0,15.0,0.0,0.0,15.0,19.0,26.0,2025-10-04,2025-10-25,persistence
18,2025-10-04,2025-11-01,4,4,14.0,14.0,0.0,0.0,14.0,18.0,26.0,2025-10-04,2025-11-01,persistence
19,2025-10-04,2025-10-11,1,1,0.0,0.0,0.0,0.0,0.0,2.0,9.0,2025-10-04,2025-10-11,persistence
19,2025-10-04,2025-10-18,2,2,0.0,0.0,0.0,0.0,0.0,2.0,9.0,2025-10-04,2025-10-18,persistence
19,2025-10-04,2025-10-25,3,3,0.0,0.0,0.0,0.0,0.0,2.0,9.0,2025-10-04,2025-10-25,persistence
19,2025-10-04,2025-11-01,4,4,0.0,0.0,0.0,0.0,0.0,1.0,9.0,2025-10-04,2025-11-01,persistence
20,2025-10-04,2025-10-11,1,1,8.0,8.0,0.0,1.0,8.0,11.0,18.0,2025-10-04,2025-10-11,persistence
20,2025-10-04,2025-10-18,2,2,8.0,8.0,0.0,0.0,8.0,11.0,18.0,2025-10-04,2025-10-18,persistence
20,2025-10-04,2025-10-25,3,3,7.0,7.0,0.0,0.0,7.0,11.0,18.0,2025-10-04,2025-10-25,persistence
20,2025-10-04,2025-11-01,4,4,6.0,6.0,0.0,0.0,6.0,10.0,18.0,2025-10-04,2025-11-01,persistence
21,2025-10-04,2025-10-11,1,1,13.0,13.0,0.0,6.0,13.0,16.0,23.0,2025-10-04,2025-10-11,persistence
21,2025-10-04,2025-10-18,2,2,13.0,13.0,0.0,1.0,13.0,16.0,23.0,2025-10-04,2025-10-18,persistence
21,2025-10-04,2025-10-25,3,3,12.0,12.0,0.0,0.0,12.0,16.0,23.0,2025-10-04,2025-10-25,persistence
21,2025-10-04,2025-11-01,4,4,11.0,11.0,0.0,0.0,11.0,15.0,23.0,2025-10-04,2025-11-01,persistence
22,2025-10-04,2025-10-11,1,1,31.0,31.0,0.0,24.0,31.0,34.0,41.0,2025-10-04,2025-10-11,persistence
22,2025-10-04,2025-10-18,2,2,31.0,31.0,0.0,19.0,31.0,34.0,41.0,2025-10-04,2025-10-18,persistence
22,2025-10-04,2025-10-25,3,3,30.0,30.0,0.0,15.0,30.0,34.0,41.0,2025-10-04,2025-10-25,persistence
22,2025-10-04,2025-11-01,4,4,29.0,29.0,0.0,9.0,29.0,33.0,41.0,2025-10-04,2025-11-01,persistence
23,2025-10-04,2025-10-11,1,1,0.0,0.0,0.0,0.0,0.0,2.0,9.0,2025-10-04,2025-10-11,persistence
23,2025-10-04,2025-10-18,2,2,0.0,0.0,0.0,0.0,0.0,2.0,9.0,2025-10-04,2025-10-18,persistence
23,2025-10-04,2025-10-25,3,3,0.0,0.0,0.0,0.0,0.0,2.0,9.0,2025-10-04,2025-10-25,persistence
23,2025-10-04,2025-11-01,4,4,0.0,0.0,0.0,0.0,0.0,1.0,9.0,2025-10-04,2025-11-01,persistence
24,2025-10-04,2025-10-11,1,1,1.0,1.0,0.0,0.0,1.0,4.0,11.0,2025-10-04,2025-10-11,persistence
24,2025-10-04,2025-10-18,2,2,1.0,1.0,0.0,0.0,1.0,4.0,11.0,2025-10-04,2025-10-18,persistence
24,2025-10-04,2025-10-25,3,3,0.0,0.0,0.0,0.0,0.0,4.0,11.0,2025-10-04,2025-10-25,persistence
24,2025-10-04,2025-11-01,4,4,0.0,0.0,0.0,0.0,0.0,3.0,11.0,2025-10-04,2025-11-01,persistence
25,2025-10-04,2025-10-11,1,1,15.0,15.0,0.0,8.0,15.0,18.0,25.0,2025-10-04,2025-10-11,persistence
25,2025-10-04,2025-10-18,2,2,15.0,15.0,0.0,3.0,15.0,18.0,25.0,2025-10-04,2025-10-18,persistence
25,2025-10-04,2025-10-25,3,3,14.0,14.0,0.0,0.0,14.0,18.0,25.0,2025-10-04,2025-10-25,persistence
25,2025-10-04,2025-11-01,4,4,13.0,13.0,0.0,0.0,13.0,17.0,25.0,2025-10-04,2025-11-01,persistence
26,2025-10-04,2025-10-11,1,1,12.0,12.0,0.0,5.0,12.0,15.0,22.0,2025-10-04,2025-10-11,persistence
26,2025-10-04,2025-10-18,2,2,12.0,12.0,0.0,0.0,12.0,15.0,22.0,2025-10-04,2025-10-18,persistence
26,2025-10-04,2025-10-25,3,3,11.0,11.0,0.0,0.0,11.0,15.0,22.0,2025-10-04,2025-10-25,persistence
26,2025-10-04,2025-11-01,4,4,10.0,10.0,0.0,0.0,10.0,14.0,22.0,2025-10-04,2025-11-01,persistence
27,2025-10-04,2025-10-11,1,1,0.0,0.0,0.0,0.0,0.0,1.0,8.0,2025-10-04,2025-10-11,persistence
27,2025-10-04,2025-10-18,2,2,0.0,0.0,0.0,0.0,0.0,1.0,8.0,2025-10-04,2025-10-18,persistence
